model,name_chn,dimension,range
MBB59GAUS1,美款59吋卧式两门玻璃门吧台柜,1467×713×1072,0～10℃ 容积20.09Cu.ft
MBB69AUS1,美款69吋卧式两门吧台柜,1727×713×1072,0～10℃ 容积24.01Cu.ft
MBB69GAUS1,美款69吋卧式两门玻璃门吧台柜,1727×713×1072,0～10℃ 容积24.01Cu.ft
MBB90AUS1,美款90吋卧式三门吧台柜,2267×713×1072,0～10℃ 容积32.37Cu.ft
MBB90GAUS1,美款90吋卧式三门玻璃门吧台柜,2267×713×1072,0～10℃ 容积32.37Cu.ft
MBC50AUS1,美款50吋卧式两门滑盖瓶装啤酒柜,1255×675×870,0～10℃ 容积毛360L净320L
MBC65AUS1,美款65吋卧式两门滑盖瓶装啤酒柜,1645×675×870,0～10℃
MBC80AUS1,美款80吋卧式三门滑盖瓶装啤酒柜,2045×675×870,0～10℃
MBC95AUS1,美款95吋卧式三门滑盖瓶装啤酒柜,2420×675×870,0～10℃
MBF8001AUS1,美款顶置式大单门冷冻冰箱,730×845×2130,-22℃～-17℃
MBF8001GRAUS1,2016美款顶置式大单门冷冻冰箱,730×805×2065,-22℃～-17℃
MBF8002AUS1,美款顶置式大二门冷冻冰箱,1314×845×2130,-22℃～-17℃
MBF8002GRAUS1,2016美款顶置式大二门冷冻冰箱,1314×805×2065,-22℃～-17℃
MBF8003AUS1,美款顶置式大三门冷冻冰箱,1976×845×2130,-22℃～-17℃
MBF8004AUS1,美款顶置式大单门冷藏冰箱,730×845×2130,-2℃～8℃
MBF8004GRAUS1,2016美款顶置式大单门冷藏冰箱,730×805×2065,-2℃～8℃
MBF8005AUS1,美款顶置式大二门冷藏冰箱,1314×845×2130,-2℃～8℃
MBF8005GRAUS1,2016美款顶置式大二门冷藏冰箱,1314×805×2065,-2℃～8℃
MBF8006AUS1,美款顶置式大三门冷藏冰箱,1976×845×2130,-2℃～8℃
MBF8006GRAUS1,2016美款顶置式大三门冷藏冰箱,1976×805×2065,-2℃～8℃
MBF8007GRAUS1,美款顶置式立式双门冷冻冰箱,730×805×2065,-22℃～-17℃
MBF8010GRAUS1,美款顶置式立式双门冷藏冰箱,730×805×2065,-2℃～8℃
MBF8501AUS1,美款底置式大单门冷冻冰箱,685×800×2135,-22℃～-17℃
MBF8501GRAUS1,美款底置式大单门冷冻冰箱,685×800×2135,-22℃～-17℃
MBF8503AUS1,美款底置式大二门冷冻冰箱,1382×800×2135,-22℃～-17℃
MBF8503GRAUS1,美款底置式大二门冷冻冰箱,1382×800×2135,-22℃～-17℃
MBF8504AUS1,美款底置式大三门冷冻冰箱,2079×800×2135,-22℃～-17℃
MBF8504GRAUS1,美款底置式大三门冷冻冰箱,2079×800×2135,-22℃～-17℃
MBF8505AUS1,美款底置式大单门冷藏冰箱,685×800×2135,-2℃～8℃
MBF8505GRAUS1,美款底置式大单门冷藏冰箱,685×800×2135,-2℃～8℃
MBF8507AUS1,美款底置式大二门冷藏冰箱,1382×800×2135,-2℃～8℃
MBF8507GRAUS1,美款底置式大二门冷藏冰箱,1382×800×2135,-2℃～8℃
MBF8508AUS1,美款底置式大三门冷藏冰箱,2079×800×2135,-2℃～8℃
MBF8508GRAUS1,美款底置式大三门冷藏冰箱,2079×800×2135,-2℃～8℃
MCF8701AUS1,美款底置式大单门冷冻陈列柜,685×800×2135,-20℃～-17℃
MCF8701GRAUS1,美款底置式大单门冷冻陈列柜,685×800×2135,-20℃～-17℃
MCF8703AUS1,美款底置式大二门冷冻陈列柜,1382×800×2135,-20℃～-17℃
MCF8703GRAUS1,美款底置式大二门冷冻陈列柜,1382×800×2135,-20℃～-17℃
